idp,Name,ci,fexp
090150002005Panel A3Vivienda UnoHogar UnoPersona 5,Guasmo Sur,0.29166666666666663,541.7821871931983
090150002005Panel A3Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.29166666666666663,541.7821871931983
090150002005Panel A3Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.29166666666666663,541.7821871931983
090150002005Panel A3Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.29166666666666663,541.7821871931983
090150002005Panel A3Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.29166666666666663,541.7821871931983
090150002005Panel A3Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.20833333333333331,541.7821871931983
090150002005Panel A3Vivienda TresHogar UnoPersona 5,Guasmo Sur,0.20833333333333331,541.7821871931983
090150002005Panel A3Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.20833333333333331,541.7821871931983
090150002005Panel A3Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.20833333333333331,541.7821871931983
090150002005Panel A3Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.20833333333333331,541.7821871931983
090150002005Panel B3Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.16666666666666666,541.7821871931983
090150002005Panel B3Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.16666666666666666,541.7821871931983
090150002005Panel B3Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.22916666666666666,541.7821871931983
090150002005Panel B3Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.22916666666666666,541.7821871931983
090150002005Panel B3Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.08333333333333333,541.7821871931983
090150002005Panel W2Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.0,541.7821871931983
090150002005Panel W2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.0,541.7821871931983
090150002005Panel W2Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.0,541.7821871931983
090150002005Panel W2Vivienda DosHogar UnoPersona 6,Guasmo Sur,0.3125,541.7821871931983
090150002005Panel W2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.3125,541.7821871931983
090150002005Panel W2Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.3125,541.7821871931983
090150002005Panel W2Vivienda DosHogar UnoPersona 5,Guasmo Sur,0.3125,541.7821871931983
090150002005Panel W2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.3125,541.7821871931983
090150002005Panel W2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.3125,541.7821871931983
090150002005Panel W2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.0,541.7821871931983
090150002005Panel X2Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.0,541.7821871931983
090150002005Panel X2Vivienda DosHogar UnoPersona 6,Guasmo Sur,0.3333333333333333,541.7821871931983
090150002005Panel X2Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.3333333333333333,541.7821871931983
090150002005Panel X2Vivienda DosHogar UnoPersona 5,Guasmo Sur,0.3333333333333333,541.7821871931983
090150002005Panel X2Vivienda DosHogar UnoPersona 7,Guasmo Sur,0.3333333333333333,541.7821871931983
090150002005Panel X2Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.3333333333333333,541.7821871931983
090150002005Panel X2Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.3333333333333333,541.7821871931983
090150002005Panel X2Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.3333333333333333,541.7821871931983
090150002005Panel X2Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.0625,541.7821871931983
090150002005Panel X2Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.0625,541.7821871931983
090150006005Panel A3Vivienda UnoHogar UnoPersona 6,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda UnoHogar UnoPersona 7,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda UnoHogar UnoPersona 5,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda DosHogar UnoPersona 5,Guasmo Sur,0.0,565.267408953552
090150006005Panel A3Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.0,565.267408953552
090150006005Panel A3Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.0,565.267408953552
090150006005Panel A3Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.0,565.267408953552
090150006005Panel A3Vivienda DosHogar UnoPersona 2,Guasmo Sur,0.0,565.267408953552
090150006005Panel A3Vivienda TresHogar UnoPersona 8,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda TresHogar UnoPersona 7,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda TresHogar UnoPersona 5,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda TresHogar UnoPersona 6,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda TresHogar UnoPersona 3,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda TresHogar UnoPersona 4,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda TresHogar UnoPersona 1,Guasmo Sur,0.375,565.267408953552
090150006005Panel A3Vivienda TresHogar UnoPersona 2,Guasmo Sur,0.375,565.267408953552
090150006005Panel B3Vivienda UnoHogar UnoPersona 9,Guasmo Sur,0.4583333333333333,565.267408953552
090150006005Panel B3Vivienda UnoHogar UnoPersona 10,Guasmo Sur,0.4583333333333333,565.267408953552
090150006005Panel B3Vivienda UnoHogar UnoPersona 4,Guasmo Sur,0.4583333333333333,565.267408953552
090150006005Panel B3Vivienda UnoHogar UnoPersona 8,Guasmo Sur,0.4583333333333333,565.267408953552
090150006005Panel B3Vivienda UnoHogar UnoPersona 5,Guasmo Sur,0.4583333333333333,565.267408953552
090150006005Panel B3Vivienda UnoHogar UnoPersona 6,Guasmo Sur,0.4583333333333333,565.267408953552
090150006005Panel B3Vivienda UnoHogar UnoPersona 3,Guasmo Sur,0.4583333333333333,565.267408953552
090150006005Panel B3Vivienda UnoHogar UnoPersona 7,Guasmo Sur,0.4583333333333333,565.267408953552
090150006005Panel B3Vivienda UnoHogar UnoPersona 2,Guasmo Sur,0.4583333333333333,565.267408953552
090150006005Panel B3Vivienda UnoHogar UnoPersona 1,Guasmo Sur,0.4583333333333333,565.267408953552
090150006005Panel B3Vivienda DosHogar UnoPersona 4,Guasmo Sur,0.3333333333333333,565.267408953552
090150006005Panel B3Vivienda DosHogar UnoPersona 6,Guasmo Sur,0.3333333333333333,565.267408953552
090150006005Panel B3Vivienda DosHogar UnoPersona 5,Guasmo Sur,0.3333333333333333,565.267408953552
090150006005Panel B3Vivienda DosHogar UnoPersona 3,Guasmo Sur,0.3333333333333333,565.267408953552
090150006005Panel B3Vivienda DosHogar UnoPersona 1,Guasmo Sur,0.3333333333333333,565.267408953552
